FIPS,Mask_Usage_NEVER,Mask_Usage_RARELY,Mask_Usage_SOMETIMES,Mask_Usage_FREQUENTLY,Mask_Usage_ALWAYS,Mask_Usage_Combined,Count_Less_HighSchool,Count_HighSchool,Count_Less_College,Count_Higher_College,Percent_Less_HighSchool,Percent_HighSchool,Percent_Less_College,Percent_Higher_College,Trump_Win,Biden_Win,Unemployment_2019_Value,Poverty_Estimates_Value,Population_Density,COVID_Average_Confirmed,COVID_Average_Death,Crime_per_100K,Series_Complete_Pop_Pct,Change_in_Movement,Intouch_users_Proportion,COVID_Essential_Workers_pct_essential,Total_Federal_Investment,COVID_Hospital_Occupancy_Rate,COVID_Hospital_All_Beds,COVID_Average_Testing,Total_Population,Urban_Population,Rural_Population,Percent_Rural,Updated_Change_in_Movement
51025,0.006,0.003,0.158,0.145,0.688,4.5,"2,644","4,473","3,518","1,670",0.215,0.364,0.28600000000000003,0.136,0,1,4.7,2935,11.36348173,2.0923076923076924,0,58.91710364,31.8,-0.01671846153846154,0.1718876923076923,0.6363485477178423,3644232.9,NA,NA,24.815384615384616,"17,434","4,270","13,164",0.755,-0.14931846153846154
51027,0.037,0.099,0.219,0.181,0.463,3.894,"4,895","5,739","3,805","1,924",0.299,0.35100000000000003,0.233,0.11800000000000001,1,0,5.6,4332,16.99802047,0.9692307692307692,0,161.03742,30.3,0.052908461538461536,0.27058,0.5601873536299766,15380766,0.21,183,67.11538461538461,"24,098",0,"24,098",1,-0.04153153846153846
51029,0.02,0.01,0.124,0.132,0.714,4.49,"2,556","5,422","3,114","1,582",0.20199999999999999,0.428,0.24600000000000002,0.125,1,0,4.2,2516,11.32682197,1.4307692307692308,0.13846153846153847,157.5630252,9.6,-0.08114692307692307,0.17325923076923078,0.618350268977884,NA,NA,NA,97.47692307692307,"17,146",0,"17,146",1,NA
51031,0.07,0.04,0.083,0.222,0.585,4.1419999999999995,"5,118","12,812","12,969","8,945",0.128,0.322,0.325,0.225,1,0,3.1,5845,42.33097538,1.4692307692307693,0,117.6790079,15.7,-0.034635384615384616,0.17893923076923077,0.5024405009648493,NA,NA,NA,33.76923076923077,"54,842","21,326","33,516",0.611,-0.027180000000000003
51033,0.047,0.032,0.031,0.14,0.75,4.4670000000000005,"3,042","7,685","5,596","4,053",0.149,0.377,0.275,0.19899999999999998,1,0,3.2,2883,22.0885014,0.9692307692307692,0,122.8752816,9.7,0.02384076923076923,0.1717246153846154,0.4624837357235796,NA,NA,NA,37.19230769230769,"28,545","6,165","22,380",0.784,-0.07975
51035,0.064,0.073,0.084,0.285,0.496,4.018,"4,270","7,999","6,627","3,340",0.192,0.36,0.298,0.15,1,0,3.6,4110,24.18545246,3.023076923076923,0.1076923076923077,87.00599003,8.7,0.055168461538461534,0.20694384615384614,0.5874432561360314,NA,NA,NA,34.3,"30,042",858,"29,184",0.971,-0.06058769230769231
51036,0.017,0.02,0.103,0.177,0.683,4.4719999999999995,"1,107","2,092","1,457",803,0.203,0.38299999999999995,0.267,0.147,0,1,3.4,870,14.77315106,0.14615384615384616,0,84.15147265,3.6,NA,NA,0.5364691872581125,NA,NA,NA,7.969230769230769,"7,256",0,"7,256",1,NA
51037,0.084,0.025,0.148,0.133,0.61,4.076,"1,419","3,415","2,697",918,0.168,0.40399999999999997,0.319,0.109,1,0,3.5,2257,9.825264483,0.36923076923076925,0,170.6623324,10.2,-0.0066476923076923084,0.1862353846153846,0.5911251980982567,NA,NA,NA,14.876923076923077,"12,586",0,"12,586",1,NA
51041,0.026,0.03,0.08,0.216,0.649,4.409,"17,713","54,442","65,382","93,507",0.077,0.23600000000000002,0.28300000000000003,0.405,0,1,2.7,22943,309.4226545,25,0.9307692307692308,126.0126013,28.9,-0.05117692307692308,0.18466384615384615,0.4054436538068066,125786586.16,0.26651422064579255,916,530.3615384615384,"316,236","297,487","18,749",0.059000000000000004,-0.04418615384615385
51043,0.013,0.036,0.057,0.154,0.74,4.559,"1,131","3,067","2,828","3,332",0.109,0.29600000000000004,0.273,0.322,1,0,2.5,911,31.52541172,0.823076923076923,0,118.4834123,46.1,-0.11849538461538461,0.18146615384615386,0.4484915890449048,NA,NA,NA,18.423076923076923,"14,034","4,277","9,757",0.695,NA
51045,0.017,0.022,0.148,0.182,0.632,4.376,346,"1,416","1,120",892,0.092,0.375,0.297,0.23600000000000002,1,0,3.2,572,6.016918983,0.18461538461538463,0,115.1631478,1.8,NA,NA,0.5710144927536231,NA,NA,NA,8.184615384615384,"5,190",0,"5,190",1,NA
51047,0.053,0.068,0.013,0.213,0.653,4.292,"4,772","10,712","10,018","8,844",0.139,0.312,0.292,0.257,1,0,2.6,4709,51.37008084,3.1153846153846154,0.13076923076923078,148.4352451,12,-0.039400000000000004,0.16570230769230768,0.4889485895713762,292425,0.44999999999999996,140,56.34615384615385,"46,689","17,778","28,911",0.619,-0.07036846153846155
51049,0.012,0.055,0.098,0.137,0.699,4.447,"1,172","2,710","2,166","1,057",0.165,0.381,0.305,0.149,1,0,3,1371,12.70041679,0.6846153846153846,0,193.06981,6.2,-0.044975,0.1999,0.533210332103321,NA,NA,NA,7.038461538461538,"10,052",402,"9,650",0.96,NA
51051,0.031,0.129,0.129,0.182,0.528,4.013,"2,452","4,181","3,052","1,165",0.226,0.385,0.281,0.107,1,0,4.9,3330,17.47948146,0.18461538461538463,0,83.94679065,29.3,0.06055,0.23661923076923078,0.5436580882352942,NA,0.03,27,14.923076923076923,"15,903",0,"15,903",1,NA
51053,0.022,0.016,0.104,0.193,0.664,4.436,"3,453","7,382","5,843","3,823",0.168,0.36,0.285,0.18600000000000003,1,0,3.3,2982,21.69042745,1.353846153846154,0.16153846153846152,207.8555046,23.8,-0.04530153846153846,0.18539923076923076,0.562531829756275,NA,0.085,130,24.392307692307693,"28,001","8,062","19,939",0.7120000000000001,-0.012137692307692308
51057,0.016,0.081,0.181,0.16,0.563,4.159999999999999,"1,394","2,973","2,146","1,370",0.177,0.377,0.272,0.174,1,0,3.5,1747,16.57344405,0.4923076923076923,0,267.1653754,13.5,-0.10370230769230769,0.16371615384615384,0.43136106229252097,NA,0.36,134,21.56153846153846,"11,151","2,534","8,617",0.773,NA
51059,0.018,0.016,0.054,0.163,0.748,4.586,"58,665","99,809","141,424","480,163",0.075,0.128,0.18100000000000002,0.616,0,1,2.3,68543,1129.205805,50.37692307692308,1.8923076923076922,79.75779097,53.6,-0.15023,0.20043769230769232,0.28541247222710897,604459852.47,0.43449784132791,3545,1471.3076923076924,"1,081,699","1,066,647","15,079",0.013999999999999999,-0.1677246153846154
51061,0.04,0.013,0.042,0.133,0.772,4.5440000000000005,"3,610","12,768","14,204","17,487",0.075,0.266,0.295,0.364,1,0,2.4,4310,41.18090441,4.684615384615385,0.1076923076923077,81.83671344,34.6,-0.07506153846153846,0.19795923076923078,0.3984739178690344,NA,0.5700000000000001,194,75.36153846153846,"65,203","27,714","37,489",0.575,-0.08341692307692307
51063,0.079,0.063,0.092,0.256,0.51,3.976,"1,507","4,146","3,399","2,567",0.13,0.35700000000000004,0.293,0.221,1,0,2.6,1783,15.87900692,0.4076923076923077,0,57.95981453,4.8,-0.06068153846153846,0.23226076923076922,0.6035260352603526,NA,NA,NA,15.723076923076924,"15,279",0,"15,279",1,NA
51065,0.037,0.014,0.077,0.1,0.772,4.519,"1,720","4,651","6,370","6,544",0.08900000000000001,0.24100000000000002,0.33,0.33899999999999997,1,0,2.3,1883,35.34282556,1.7,0.12307692307692307,65.44250683,41.1,-0.06503307692307693,0.20856846153846154,0.4554580665560034,NA,NA,NA,35.646153846153844,"25,691","9,528","16,163",0.629,-0.11559384615384616
51067,0.074,0.098,0.069,0.189,0.57,4.0089999999999995,"4,850","14,250","12,802","8,920",0.11900000000000001,0.349,0.314,0.21899999999999997,1,0,2.9,6315,31.43790306,2.8923076923076922,0,108.2808201,23.8,-0.03584846153846154,0.1893876923076923,0.4832317073170732,15758467.4,0.5,74,51.45384615384615,"56,159","6,048","50,111",0.892,0.015806153846153845
